PPID,Day,Reported,Estimated,PropPos
12,10,23,0.844717825,1
12,10,7,0.844717825,1
12,10,8,0.25387319,0
12,10,14,0.869080138,1
12,10,14,0.606445838,0
12,10,17,0.606445838,0
12,10,9,0.844717825,1
12,11,17,0.606445838,0
12,11,7,0.317334813,0
12,11,15,0.499407507,0
12,11,13,0.61182654,1
12,11,13,0.499407507,0
12,11,12,0.864448515,1
12,11,13,0.608068276,1
12,11,-3,0.284212326,0
12,12,11,0.317334813,0
12,12,11,0.317334813,0
12,12,13,0.854815045,1
12,12,10,0.844717825,1
12,12,9,0.205619763,0
12,12,8,0.205619763,0
12,12,20,0.877860753,1
12,12,32,0.918443728,0.666666667
12,13,6,0.23437063,0
12,13,8,0.699077148,1
12,13,13,0.671775072,1
12,13,12,0.704920111,1
12,13,14,0.671775072,1
12,14,10,0.797480097,1
12,14,24,0.087967918,0
12,14,20,0.892424806,1
12,14,18,0.892424806,1
12,14,12,0.838175618,1
12,14,16,0.844717825,1
12,14,-1,0.502316573,1
12,14,18,0.844717825,1
12,14,11,0.606445838,0
13,1,-13,0.800545904,0.5
13,1,-10,0.173081188,0
13,1,1,0.403597914,0
13,1,32,0.580110466,0.5
13,1,19,0.807021857,1
13,1,-50,0.172068286,0
13,1,5,0.542465156,1
13,2,35,0.939720009,1
13,2,25,0.459671252,0.333333333
13,2,27,0.939720009,1
13,2,31,0.939720009,1
13,2,25,0.336981228,0
13,3,6,0.531198797,0.666666667
13,3,9,0.922218274,1
13,3,40,0.922218274,1
13,3,10,0.518283405,0.5
13,3,22,0.956920106,0.5
13,3,36,0.727728288,0.5
13,4,1,0.939720009,1
13,4,0,0.199535072,0.333333333
13,4,10,0.271549425,0.5
13,4,37,0.726495983,0.5
13,4,6,0.688549093,0.666666667
13,4,39,0.966903189,1
13,4,50,0.966903189,1
13,4,20,0.922218274,1
13,4,22,0.889797549,1
13,4,30,0.800545904,0.5
13,4,0,0.32296355,0.5
13,5,8,0.558251206,0.5
13,5,15,0.816519903,0.666666667
13,5,21,0.800545904,0.5
13,5,19,0.822659663,1
13,5,-23,0.168774681,0
13,5,0,0.226350719,0
13,5,2,0.188715186,0.5
13,5,18,0.580110466,0.5
13,5,36,0.889658645,1
13,6,1,0.242034284,0.5
13,6,13,0.873101288,1
13,6,10,0.267426431,0.5
13,6,22,0.967644113,1
13,6,19,0.570300027,0.5
13,6,10,0.607413753,1
13,6,10,0.800545904,0.5
13,6,20,0.173081188,0
13,6,8,0.800545904,0.5
13,6,17,0.50157052,1
13,6,13,0.265093721,0
13,6,24,0.50157052,1
13,6,9,0.50157052,1
13,6,9,0.32296355,0.5
13,6,-2,0.265093721,0
13,7,7,0.85681367,1
13,7,-3,0.265093721,0
13,7,12,0.966903189,1
13,7,23,0.478918296,0.5
13,8,-9,0.421964176,1
13,8,-46,0.123790363,0
13,8,-42,0.123790363,0
13,8,-36,0.50157052,1
13,8,12,0.966903189,1
13,8,3,0.32296355,0.5
13,8,17,0.966903189,1
13,8,2,0.475123254,0.5
13,8,6,0.838175618,1
13,8,-6,0.475123254,0.5
13,8,-1,0.50157052,1
13,8,1,0.50157052,1
13,8,1,0.32296355,0.5
13,8,2,0.50157052,1
13,8,20,0.966903189,1
13,8,18,0.939720009,1
13,9,35,0.966903189,1
13,9,25,0.922218274,1
13,9,24,0.966903189,1
13,9,12,0.939720009,1
13,9,26,0.801326077,1
13,9,18,0.922218274,1
13,9,28,0.966903189,1
13,9,22,0.838175618,1
13,9,21,0.838175618,1
13,9,0,0.630367765,1
13,9,8,0.838175618,1
13,9,8,0.877860753,1
13,9,21,0.50157052,1
13,9,-20,0.50157052,1
13,9,1,0.838175618,1
13,9,10,0.265093721,0
13,9,9,0.250713211,0.5
13,10,15,0.939720009,1
13,10,13,0.802874755,0.5
13,10,15,0.822659663,1
13,10,11,0.838175618,1
13,10,33,0.966903189,1
